;3;2.5;;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=992928025;-15;7.5;0;4;1.5;0.3;0.780912623;139.7222318;6.578452783;26.38171718;217.6347823;201.5939393;23903.38864;0.39178008;0.008052919;6.807714831;10.08336278;68.64465831;-15;7.5;4;1.5;120.0066092;283.0057566;18.19920192;2.358251421;0.699618305;110;21.89777576;0;0;0;0;0;0;5;7.229856844;19.37537193
CID=992927936;-15;10;0;4;4;0.8;0.780912623;139.7222318;6.578452783;29.67294474;219.2727928;201.5939393;25127.99744;0.432444643;0.008750302;6.199616217;11.99208314;74.34631309;-15;10;4;4;120.0066092;308.3346683;21.05382741;2.56931406;0.716983746;110;25.41213162;0;0;0;0;0;0;5;8.574741856;23.08609027
CID=992928095;-15;12.5;0;4;6.5;1.3;0.780912623;139.7222318;6.578452783;32.98064018;220.8827942;201.5939393;26384.78664;0.486673944;0.009670199;5.681294693;14.44383784;82.05969927;-15;12.5;4;6.5;120.0066092;335.3618017;23.87100997;2.794527768;0.737297236;110;29.76430691;0;0;0;0;0;0;5;10.09212807;27.07342272
CID=2074657363;-15;15;0;4;9;1.8;0.780912623;139.7222318;6.578452783;36.30537198;222.4650164;201.5939393;27270.15004;0.513489032;0.010430149;5.235285459;16.21188895;84.87386647;-15;15;4;9;120.0066092;364.160422;26.47237326;3.034503054;0.750672554;110;32.8124651;0;0;0;0;0;0;5;11.56755525;30.09788218
CID=2074657522;-15;17.5;0;4;11.5;2.3;0.780912623;139.7222318;6.578452783;39.64772049;224.019687;201.5939393;28099.59675;0.540223544;0.011270216;4.833816496;18.09898252;87.48716028;-15;17.5;4;11.5;120.0066092;394.8050249;29.10066376;3.289860681;0.763869941;110;35.99900656;0;0;0;0;0;0;5;13.35752046;34.27669524
CID=2074657425;-15;20;0;4;14;2.8;0.780912623;139.7222318;6.578452783;43.0082804;225.54703;201.5939393;29145.19838;0.594102606;0.0125403;4.462754685;21.11165857;94.21615321;-15;20;4;14;120.0066092;427.3713314;31.90156587;3.561231622;0.782840525;110;40.97366668;0;0;0;0;0;0;5;15.33913918;38.24217233
CID=2074657328;-15;22.5;0;4;16.5;3.3;0.780912623;139.7222318;6.578452783;46.38766355;227.0472657;201.5939393;29832.34354;0.606993471;0.013436939;4.117516936;22.88009921;94.20919599;-15;22.5;4;16.5;120.0066092;461.9362892;34.68689804;3.849257074;0.792883835;110;43.84338886;0;0;0;0;0;0;5;17.6717747;39.91894737
CID=2074657239;-15;25;0;4;19;3.8;0.780912623;139.7222318;6.578452783;49.78650222;228.5206102;201.5939393;30604.70031;0.63485442;0.014596904;3.816624963;25.25153069;96.37562238;-15;25;4;19;120.0066092;498.5780826;37.4364932;4.154588536;0.805207081;110;47.64703711;0;0;0;0;0;0;5;19.94105279;40.13193408
CID=2074657398;-15;27.5;0;4;21.5;4.3;0.780912623;139.7222318;6.578452783;53.20545296;229.9672748;201.5939393;31401.80542;0.673372826;0.01599413;3.555755058;28.10114103;99.92077433;-15;27.5;4;21.5;120.0066092;537.3761508;40.09096043;4.477887964;0.818445403;109.9999964;52.16629785;0;0;0;0;0;0;5.000029912;22.9326881;40.07895773
CID=2074657301;-15;30;0;4;24;4.8;0.780912623;139.7222318;6.578452783;56.64520143;231.3874659;201.5939393;32161.59339;0.699560748;0.017381153;3.299137569;30.73544081;101.4004475;-15;30;4;24;120.0066092;578.4112193;42.93877127;4.819828036;0.829321375;109.4000048;56.30829318;0;0;0;0;0;0;9.99996481;26.54271331;40.09537459
