;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;0;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=2028036131;-15;25;21.17613482;4;19;3.8;0.780912623;139.7222318;6.578452783;33.91172671;228.5206102;201.5939393;30609.06764;0.415527034;0.011880999;3.290330475;21.17613806;69.67649241;-15;25;4;19;120.0066092;498.5780826;44.02984463;4.154588536;0.783220289;62.77320117;41.07888116;3.360443741;244.6071648;6.785006564;0.038367112;7.160443741;33.91172671;10;21.17613482;42.54431841
CID=-962969250;-15;27.5;24.4941404;4;21.5;4.3;0.780912623;139.7222318;6.578452783;35.97807411;229.9672748;201.5939393;31266.04185;0.451079121;0.013127958;3.04994613;24.49415685;74.70585889;-15;27.5;4;21.5;120.0066092;537.3761508;47.50049017;4.477887964;0.80140707;73.03091823;46.43710117;4.41083972;253.9462339;7.997071213;0.045571995;8.71083972;35.97807411;10;24.4941404;42.60720224
CID=340992665;-15;30;28.50201056;4;24;4.8;0.780912623;139.7222318;6.578452783;38.03766005;231.3874659;201.5939393;31930.20426;0.49970987;0.014646581;2.867539608;28.50202552;81.7306871;-15;30;4;24;120.0066092;578.4112193;50.45079944;4.819828036;0.820181003;97.87220215;52.79852558;5.45119513;263.4637909;9.570908961;0.054967804;10.25119513;38.03766005;10;28.50201056;42.75509876
CID=1644954580;-15;32.5;32.50868739;4;26.5;5.3;0.780912623;139.7222318;6.578452783;40.09073542;232.7813845;201.5939393;32831.98285;0.547368906;0.016209484;2.719327703;32.50870865;88.40183202;-15;32.5;4;26.5;120.0066092;621.7653459;53.02306626;5.181092527;0.835978632;86.67695994;59.08269777;6.481730621;273.1592042;11.2804345;0.065297991;11.78173062;40.09073542;10;32.50868739;43.27121207
CID=1107155767;-15;35;38.87347994;4;29;5.8;0.780912623;139.7222318;6.578452783;42.13754538;234.1492266;201.5939393;33562.0873;0.618485621;0.018641011;2.536986353;38.87347945;98.62148686;-15;35;4;29;120.0066092;667.521983;56.47310552;5.562376837;0.856095742;98.10506846;68.99011265;7.502665971;283.0318882;13.66794069;0.07974938;13.30266597;42.13754538;10;38.87347994;42.8651703
CID=-1883849614;-15;37.5;44.0043888;4;31.5;6.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1346043374;-15;40;0;4;34;6.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-42081459;-15;42.5;0;4;36.5;7.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1261880456;-15;45;0;4;39;7.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1729124925;-15;47.5;0;4;41.5;8.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=2028043558;-15;50;0;4;44;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-962961823;-15;52.5;0;4;46.5;9.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=341000092;-15;55;0;4;49;9.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1644962007;-15;57.5;0;4;51.5;10.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1107163194;-15;60;0;4;54;10.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1883842187;-15;62.5;0;4;56.5;11.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1346044399;-15;65;0;4;59;11.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-42082484;-15;67.5;0;4;61.5;12.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1261879431;-15;69.99;0;4;63.99;12.798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1729125950;-12;-5;0;4;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=2028042533;-12;-2.5;0;4;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-962962848;-12;0;0;4;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=340999067;-12;2.5;0;4;-3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1644960982;-12;5;0;4;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
