;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=-293066971;-15;-2.5;0;4;-8.5;0;1.749912208;148.1061964;8.127938633;188.6759598;402.9994448;392.9623045;19515.57242;0.336901871;0.006180667;10.87025345;6.331448675;68.82445178;-15;-2.5;4;-8.5;163.9400843;267.1911221;9.539578697;1.629809594;0.661034895;103.7476468;14.55239523;0;0;0;0;0;0;9.999976138;4.929231913;11.81258501
CID=-293067188;-15;0;0;4;-6;0;1.749912208;148.1061964;8.127938633;191.9872538;404.9188297;392.9623045;20958.10758;0.372668951;0.006527504;9.577757048;7.819906162;74.89716136;-15;0;4;-6;163.9400843;292.8031823;12.94222073;1.786037769;0.677090328;108.7305451;17.54731641;0;0;0;0;0;0;6.269454922;5.777572772;15.13884191
CID=-293067157;-15;2.5;0;4;-3.5;0;1.749912208;148.1061964;8.127938633;195.3144074;406.8091797;392.9623045;22549.36175;0.426280192;0.007086984;8.540317107;9.865369459;84.25338356;-15;2.5;4;-3.5;163.9400843;320.2634909;16.31690081;1.95353987;0.697542798;110;21.4881126;0;0;0;0;0;0;5;6.917223174;18.88470312
CID=-293067126;-15;5;0;4;-1;0;1.749912208;148.1061964;8.127938633;198.6579082;408.6706572;392.9623045;23717.93948;0.452567046;0.007604522;7.675666201;11.45643444;87.93576662;-15;5;4;-1;163.9400843;349.6586079;19.44630866;2.132843895;0.712253427;110;24.43828372;0;0;0;0;0;0;5;8.309475972;23.1137234
CID=-293067095;-15;7.5;0;4;1.5;0.3;1.749912208;148.1061964;8.127938633;202.0182716;410.5034357;392.9623045;25136.74843;0.515203894;0.008448371;6.97110638;14.11183592;98.3751094;-15;7.5;4;1.5;163.9400843;381.0766891;22.60842965;2.324487576;0.73467025;110;29.18413601;0;0;0;0;0;0;5;9.766861571;26.77517874
CID=-293067312;-15;10;0;4;4;0.8;1.749912208;148.1061964;8.127938633;205.3960427;412.3076984;392.9623045;26253.86816;0.550552653;0.009213589;6.339088671;16.29021274;103.265103;-15;10;4;4;163.9400843;414.6074674;25.72980278;2.529018264;0.751241876;110;32.94600373;0;0;0;0;0;0;5;11.76992841;32.00308191
CID=-293067281;-15;12.5;0;4;6.5;1.3;1.749912208;148.1061964;8.127938633;208.7917993;414.083637;392.9623045;27467.31496;0.603694326;0.010242983;5.781018734;19.23236961;111.182689;-15;12.5;4;6.5;163.9400843;450.3422403;28.95083194;2.746992856;0.771296599;110;37.88498821;0;0;0;0;0;0;5;13.60100439;37.54692314
CID=-100268829;-15;15;0;4;9;1.8;1.749912208;148.1061964;8.127938633;212.2061546;415.8314506;392.9623045;28420.52595;0.638860336;0.011190472;5.313110637;21.73452474;115.4779346;-15;15;4;9;163.9400843;488.3738644;31.99156363;2.978977756;0.786465342;110;41.98811086;0;0;0;0;0;0;5;15.85076667;41.96732653
CID=-100268798;-15;17.5;0;4;11.5;2.3;1.749912208;148.1061964;8.127938633;215.6397604;417.5513449;392.9623045;29300.87387;0.673952527;0.012212574;4.91044571;24.3372972;119.5069766;-15;17.5;4;11.5;163.9400843;528.7967575;34.95057493;3.225548894;0.800604461;110;46.18597498;0;0;0;0;0;0;5;18.34124084;47.83862948
CID=-100268767;-15;20;0;4;14;2.8;1.749912208;148.1061964;8.127938633;219.0933108;419.2435367;392.9623045;30324.93271;0.726731474;0.013604311;4.519654033;27.95702262;126.35607;-15;20;4;14;163.9400843;571.706909;38.19019588;3.487291785;0.817814106;110;51.93882216;0;0;0;0;0;0;5;21.16909608;53.59478746
CID=-100268736;-15;22.5;0;4;16.5;3.3;1.749912208;148.1061964;8.127938633;222.5675461;420.9082324;392.9623045;31268.08249;0.779382871;0.015123967;4.179621531;31.77387117;132.8027561;-15;22.5;4;16.5;163.9400843;617.2018999;41.35302719;3.764801651;0.833281334;110;57.93409844;0;0;0;0;0;0;5;24.05851157;58.44702676
CID=-100268953;-15;25;0;4;19;3.8;1.749912208;148.1061964;8.127938633;226.0632575;422.5456569;392.9623045;32093.26318;0.814064327;0.016556428;3.868502425;35.1212292;135.8665603;-15;25;4;19;163.9400843;665.3809326;44.54493847;4.058683607;0.844906593;110;63.15631529;0;0;0;0;0;0;5;27.84022264;58.80299691
CID=-100268922;-15;27.5;0;4;21.5;4.3;1.749912208;148.1061964;8.127938633;229.5812925;424.1560347;392.9623045;32925.09492;0.866450576;0.018340986;3.601518256;39.30608205;141.5615721;-15;27.5;4;21.5;163.9400843;716.3448726;47.61050676;4.369552912;0.857273495;110;69.66203162;0;0;0;0;0;0;5.000000657;31.35461076;58.57586477
CID=-100268891;-15;30;0;4;24;4.8;1.749912208;148.1061964;8.127938633;233.1225601;425.7395938;392.9623045;33738.42854;0.900862054;0.020043517;3.347453717;43.01584805;143.9935605;-15;30;4;24;163.9400843;770.1963031;50.79252536;4.698035301;0.866522332;109.8573864;75.42312208;0;0;0;0;0;0;8.56534085;36.42198414;57.93918715
CID=-100268860;-15;32.5;0;4;26.5;5.3;1.749912208;148.1061964;8.127938633;236.6880382;427.2965655;392.9623045;34663.60491;0.970617533;0.022515783;3.118082289;48.64609999;151.6825428;-15;32.5;4;26.5;163.9400843;827.0395933;53.99020223;5.044767404;0.878021259;109.3475878;84.17803289;0;0;0;0;0;0;10;41.49580222;58.39417169
CID=-100269077;-15;35;0;4;29;5.8;1.749912208;148.1061964;8.127938633;240.2787811;428.8271845;392.9623045;35882.07063;1.111113255;0.02647596;2.925101965;57.99752925;169.6486867;-15;35;4;29;163.9400843;886.9809836;56.97793648;5.410397266;0.891920161;110;98.79598328;0;0;0;0;0;0;5;48.03434678;58.95311413
CID=-100269046;-15;37.5;0;4;31.5;6.3;1.749912208;148.1061964;8.127938633;243.8959281;430.3316884;392.9623045;35987.68548;1.074887538;0.02658723;2.831672598;56.58478682;160.2295903;-15;37.5;4;31.5;163.9400843;950.1286888;58.39383494;5.795584973;0.890161492;110;96.57987906;0;0;0;0;0;0;10;55.38153093;56.58478599
CID=-455207534;-15;40;0;4;34;6.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-455207503;-15;42.5;0;4;36.5;7.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-455207472;-15;45;0;4;39;7.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-455207441;-15;47.5;0;4;41.5;8.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1507833021;-15;50;0;4;44;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1507832990;-15;52.5;0;4;46.5;9.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1507832959;-15;55;0;4;49;9.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1507832928;-15;57.5;0;4;51.5;10.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1507833145;-15;60;0;4;54;10.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1507833114;-15;62.5;0;4;56.5;11.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1705405220;-15;65;0;4;59;11.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1705405251;-15;67.5;0;4;61.5;12.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1705405282;-15;69.99;0;4;63.99;12.798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1515452682;-12;-5;0;4;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1515452465;-12;-2.5;0;4;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1515452496;-12;0;0;4;-6;0;1.747637729;148.2918459;9.127317106;191.9872538;404.2822725;394.8346401;19508.15081;0.379468622;0.006280673;11.41825793;6.741327671;76.97421815;-12;0;4;-6;185.2441558;292.8031823;11.68311163;1.580633845;0.665559116;98.19100799;15.38914803;0;0;0;0;0;0;10;5.45377871;12.39907229
CID=1515452527;-12;2.5;0;4;-3.5;0;1.747637729;148.2918459;9.127317106;195.3144074;406.1660193;394.8346401;20417.24776;0.399451059;0.00660118;10.02239557;7.95204775;79.69856818;-12;2.5;4;-3.5;185.2441558;320.2634909;14.84500184;1.728872306;0.678466649;108.4714304;17.80763524;0;0;0;0;0;0;8.821424083;5.943935071;15.64027501
CID=1515452558;-12;5;0;4;-1;0;1.747637729;148.2918459;9.127317106;198.6579082;408.0209547;394.8346401;21792.10827;0.439547667;0.00710962;8.855933836;9.736864172;86.22902488;-12;5;4;-1;185.2441558;349.6586079;18.19260372;1.887555407;0.696310158;110;21.2457544;0;0;0;0;0;0;5;7.329834137;19.54446824
CID=1515452341;-12;7.5;0;4;1.5;0.3;1.747637729;148.2918459;9.127317106;202.0182716;409.8472485;394.8346401;23309.477;0.499730941;0.007833982;7.95389659;12.11435228;96.3563053;-12;7.5;4;1.5;185.2441558;381.0766891;21.40230925;2.057159036;0.718048318;109.9999988;25.63316926;0;0;0;0;0;0;5.000002976;8.564914349;23.97685129
CID=1515452372;-12;10;0;4;4;0.8;1.747637729;148.2918459;9.127317106;205.3960427;411.6450801;394.8346401;24496.52221;0.539625771;0.008544255;7.190838793;14.21613698;102.2259493;-12;10;4;4;185.2441558;414.6074674;24.47496428;2.238167598;0.735499582;109.9999979;29.36668637;0;0;0;0;0;0;5.000010286;9.993038834;27.80646512
CID=-388915324;-12;12.5;0;4;6.5;1.3;1.747637729;148.2918459;9.127317106;208.7917993;413.4146376;394.8346401;25601.69482;0.579434085;0.00934131;6.544203126;16.47252708;107.7995632;-12;12.5;4;6.5;185.2441558;450.3422403;27.50155241;2.431073943;0.752559686;109.9999999;33.25638632;0;0;0;0;0;0;5.000001228;12.13908469;33.22991984
CID=-388915293;-12;15;0;4;9;1.8;1.747637729;148.2918459;9.127317106;212.2061546;415.1561167;394.8346401;26846.14264;0.639243259;0.010439932;5.955056859;19.60418362;116.7440282;-12;15;4;9;185.2441558;488.3738644;30.71043563;2.636379335;0.773655165;110;38.49967901;0;0;0;0;0;0;5;14.03038393;39.10194302
CID=-388915262;-12;17.5;0;4;11.5;2.3;1.747637729;148.2918459;9.127317106;215.6397604;416.8697193;394.8346401;27977.90092;0.698932106;0.011658908;5.457801721;22.94789386;125.2450546;-12;17.5;4;11.5;185.2441558;528.7967575;33.81350598;2.85459347;0.793253861;110;43.95278654;0;0;0;0;0;0;5;16.41213951;45.50790541
CID=-388915231;-12;20;0;4;14;2.8;1.747637729;148.2918459;9.127317106;219.0933108;418.5556531;394.8346401;29014.45477;0.758502246;0.012996942;5.032633876;26.48716283;133.300193;-12;20;4;14;185.2441558;571.706909;36.81911666;3.086234524;0.81114708;110;49.61255673;0;0;0;0;0;0;5;19.0319769;50.16237968
CID=-388915448;-12;22.5;0;4;16.5;3.3;1.747637729;148.2918459;9.127317106;222.5675461;420.2141361;394.8346401;29869.12079;0.797855141;0.01424912;4.648282095;29.56881356;137.4441866;-12;22.5;4;16.5;185.2441558;617.2018999;39.82789462;3.331829267;0.824656455;110;54.47743012;0;0;0;0;0;0;5;21.85382411;56.78554921
CID=-388915417;-12;25;0;4;19;3.8;1.747637729;148.2918459;9.127317106;226.0632575;421.8453762;394.8346401;30942.11646;0.877154791;0.016159223;4.294211809;34.47399277;148.0386269;-12;25;4;19;185.2441558;665.3809326;42.9779696;3.591913222;0.842787302;110;62.14831793;0;0;0;0;0;0;5;24.92719577;62.99191065
CID=-388915386;-12;27.5;0;4;21.5;4.3;1.747637729;148.2918459;9.127317106;229.5812925;423.4495985;394.8346401;31641.00118;0.896158071;0.01745901;3.969377407;37.30890415;148.0931212;-12;27.5;4;21.5;185.2441558;716.3448726;46.11993134;3.867030889;0.851648553;110;66.55916368;0;0;0;0;0;0;5;28.62056614;65.67023999
CID=-388915355;-12;30;0;4;24;4.8;1.747637729;148.2918459;9.127317106;233.1225601;425.0270275;394.8346401;32334.96678;0.915094486;0.018825366;3.68471385;40.16101082;147.9818328;-12;30;4;24;185.2441558;770.1963031;49.18944967;4.157736041;0.859537572;109.6756063;70.98973353;0;0;0;0;0;0;8.243937053;32.30851563;65.94045999
CID=-388915572;-12;32.5;0;4;26.5;5.3;1.747637729;148.2918459;9.127317106;236.6880382;426.5778912;394.8346401;33157.497;0.973933815;0.020893875;3.436928204;44.81453036;154.0243233;-12;32.5;4;26.5;185.2441558;827.0395933;52.18398755;4.464592093;0.870502567;109.8949941;78.21761502;0;0;0;0;0;0;5.875049463;36.61259499;65.80163928
CID=-388915541;-12;35;0;4;29;5.8;1.747637729;148.2918459;9.127317106;240.2787811;428.1024207;394.8346401;33936.1707;1.012536606;0.022896325;3.193375833;49.00565205;156.4934649;-12;35;4;29;185.2441558;886.9809836;55.3808665;4.788172559;0.87866529;109.4151909;84.73805225;0;0;0;0;0;0;9.999973183;42.40283896;65.63900856
