;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=-458516135;-12;30;0;4;24;4.8;0.780245257;139.9677654;7.397259801;40.41198739;231.1829632;203.6939115;30899.40637;0.72992657;0.015545616;3.835159025;31.07662918;119.1838149;-12;30;4;24;135.8927511;578.4112193;41.50805353;4.256380232;0.830642019;110;56.84284223;7.229125204;280.3602894;12.10140956;0.069978765;12.0291252;40.41198739;5;24.9223051;47.74041456
CID=-458515848;-12;32.5;0;4;26.5;5.3;0.780245257;139.9677654;7.397259801;42.49282367;232.5753305;203.6939115;31637.94124;0.759740171;0.01679352;3.590130439;34.11322905;122.470942;-12;32.5;4;26.5;135.8927511;621.7653459;44.1601923;4.575412161;0.841580175;109.8577965;61.58615776;8.274703332;290.6774903;13.67758844;0.079732291;13.57470333;42.49282367;8.555087973;28.99840307;47.83908194
CID=-458515817;-12;35;0;4;29;5.8;0.780245257;139.9677654;7.397259801;44.56747644;233.9416238;203.6939115;32437.2503;0.804714322;0.018411389;3.360197748;38.10826949;128.0513213;-12;35;4;29;135.8927511;667.521983;46.91408394;4.912123551;0.853958058;109.4811575;67.80136902;9.310586689;301.1833307;15.65794183;0.092021041;15.11058669;44.56747644;10;33.2542217;48.23016038
CID=1512144027;-12;37.5;0;4;31.5;6.3;0.780245257;139.9677654;7.397259801;46.63618542;235.282032;203.6939115;33597.18607;0.925929726;0.021441138;3.165206058;45.94469197;145.4244173;-12;37.5;4;31.5;135.8927511;715.7660593;49.57284387;5.26713937;0.872850478;110;79.97445072;10.33699605;311.8772498;19.38365815;0.114855071;16.63699605;46.63618542;5;37.98307765;48.74533223
CID=1512144058;-12;40;0;4;34;6.8;0.780245257;139.9677654;7.397259801;48.69918564;236.5967388;203.6939115;34087.84637;0.955704699;0.02272739;3.040583409;48.71735715;148.1291879;-12;40;4;34;135.8927511;766.5840786;51.4071146;5.641096177;0.878149688;110;84.2890085;11.35415249;322.7587634;21.45514874;0.128186708;18.15415249;48.69918564;4.706324674;45.23629027;48.71735311
CID=1512143833;-12;42.5;0;4;36.5;7.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1512143864;-12;45;0;4;39;7.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1512144151;-12;47.5;0;4;41.5;8.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1512144182;-12;50;0;4;44;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1512143957;-12;52.5;0;4;46.5;9.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
