;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;0;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=1439798498;-15;-5;0;4;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1439798339;-15;-2.5;4.929231913;4;-8.5;0;1.749912208;148.1061964;8.127938633;188.6759598;402.9994448;392.9623045;19280.43613;0.230813338;0.006115772;9.565788702;4.929234223;47.15201304;-15;-2.5;4;-8.5;163.9400843;267.1911221;10.40188966;1.629809594;0.644940195;48.8460923;11.6122342;0;0;0;0;0;0;10.27672157;4.929231913;11.81258501
CID=1439798560;-15;0;5.777572772;4;-6;0;1.749912208;148.1061964;8.127938633;191.9872538;404.9188297;392.9623045;20633.45368;0.228514669;0.006226289;7.948965421;5.777575414;45.92574718;-15;0;4;-6;163.9400843;292.8031823;15.33047534;1.786037769;0.654793206;25.49413904;13.40593885;0;0;0;0;0;0;10;5.777572772;15.13884191
CID=1439798657;-15;2.5;6.917223174;4;-3.5;0;1.749912208;148.1061964;8.127938633;195.3144074;406.8091797;392.9623045;21721.86328;0.246324311;0.00647367;7.038295266;6.917226439;48.6854821;-15;2.5;4;-3.5;163.9400843;320.2634909;19.40518539;1.95353987;0.667476357;54.44160432;15.74533416;0;0;0;0;0;0;10;6.917223174;18.88470312
CID=1439798622;-15;5;8.309475972;4;-1;0;1.749912208;148.1061964;8.127938633;198.6579082;408.6706572;392.9623045;23390.84433;0.278553298;0.006853204;6.513538932;8.30948138;54.12413047;-15;5;4;-1;163.9400843;349.6586079;22.49712258;2.132843895;0.682150548;33.78114029;18.50757264;0;0;0;0;0;0;10;8.309475972;23.1137234
CID=1439798463;-15;7.5;9.766861571;4;1.5;0.3;1.749912208;148.1061964;8.127938633;202.0182716;410.5034357;392.9623045;24395.4136;0.29965721;0.007311754;5.85835365;9.766866195;57.21775623;-15;7.5;4;1.5;163.9400843;381.0766891;26.3235494;2.324487576;0.696598551;58.29477724;21.30239567;0;0;0;0;0;0;10;9.766861571;26.77517874
CID=1439798188;-15;10;11.76992841;4;4;0.8;1.749912208;148.1061964;8.127938633;205.3960427;412.3076984;392.9623045;25606.28195;0.33512194;0.007961;5.340520465;11.76993328;62.85756954;-15;10;4;4;163.9400843;414.6074674;29.98923445;2.529018264;0.715035153;62.25407379;25.0093488;0;0;0;0;0;0;10;11.76992841;32.00308191
CID=1439798285;-15;12.5;13.60100439;4;6.5;1.3;1.749912208;148.1061964;8.127938633;208.7917993;414.083637;392.9623045;26678.31608;0.355130684;0.00861486;4.808803147;13.60101369;65.40459743;-15;12.5;4;6.5;163.9400843;450.3422403;34.06186125;2.746992856;0.730554378;80.15641062;28.28619338;0;0;0;0;0;0;10;13.60100439;37.54692314
CID=358069257;-15;15;15.85076667;4;9;1.8;1.749912208;148.1061964;8.127938633;212.2061546;415.8314506;392.9623045;27790.57269;0.387822573;0.009431343;4.422580228;15.85077298;70.10131518;-15;15;4;9;163.9400843;488.3738644;37.59006062;2.978977756;0.748022719;73.8512467;32.19522268;0;0;0;0;0;0;10;15.85076667;41.96732653
CID=358069354;-15;17.5;18.34124084;4;11.5;2.3;1.749912208;148.1061964;8.127938633;215.6397604;417.5513449;392.9623045;29150.30336;0.423001239;0.01036665;4.089561292;18.34124751;75.00765585;-15;17.5;4;11.5;163.9400843;528.7967575;40.99684979;3.225548894;0.765487967;55.7861855;36.40376307;0;0;0;0;0;0;10;18.34124084;47.83862948
